STID;Sample_IDs;CombID;Host;Inoculant;Condition;Salt_conc;Soil;Media;Rreplicate;Picture;Root_tube;Nodule_Tube;RootCondition;PlantCondition_bin;PHID;Number_of_branch;Number_of_leaf;Length;RootLength;PotCondition;PlantCondition;Inoculant_Condition;Host_Inoculant_Condition;Project;ExperimentField;Collected_data_sereal;Type;Inoculant_Collected_day;Date entered;;;;
STID2;MB868;63;GIFU;MC1;SALT;Salt:100;Vermiculite;B_and_D;1;9;1146;1146;Good;Good;PH868;1;5;45,05888;122,29986;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB869;114;MG11;MC2;SALT;Salt:150;Vermiculite;B_and_D;2;10;1147;1147;Bad;Bad;PH869;1;1;5,49254;14,34302;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB870;114;MG11;MC2;SALT;Salt:150;Vermiculite;B_and_D;2;10;1148;1148;Bad;Bad;PH870;1;0;5,28804;9,63454;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB871;114;MG11;MC2;SALT;Salt:150;Vermiculite;B_and_D;2;10;1149;1149;Good;Good;PH871;1;1;11,58151;21,31881;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB872;114;MG11;MC2;SALT;Salt:150;Vermiculite;B_and_D;2;10;1150;1150;Good;Bad;PH872;1;1;13,78195;20,14232;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB873;114;MG11;MC2;SALT;Salt:150;Vermiculite;B_and_D;2;10;1151;1151;Good;Bad;PH873;1;1;11,28723;22,523;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB874;114;MG11;MC2;SALT;Salt:150;Vermiculite;B_and_D;2;10;1152;1152;Good;Good;PH874;1;1;8,46114;44,66283;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB875;104;GIFU;MC2;SALT;Salt:150;Vermiculite;B_and_D;2;11;1153;1153;Bad;Bad;PH875;1;0;4,21339;13,63382;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB876;104;GIFU;MC2;SALT;Salt:150;Vermiculite;B_and_D;2;11;1154;1154;Good;Good;PH876;1;1;10,82547;41,93977;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB877;104;GIFU;MC2;SALT;Salt:150;Vermiculite;B_and_D;2;11;1155;1155;Good;Good;PH877;1;1;8,9412;37,60096;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB878;104;GIFU;MC2;SALT;Salt:150;Vermiculite;B_and_D;2;11;1156;1156;Good;Good;PH878;1;1;7,16139;14,32683;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB879;104;GIFU;MC2;SALT;Salt:150;Vermiculite;B_and_D;2;11;1157;1157;Good;Good;PH879;1;1;10,1706;35,11621;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB880;42;MG20;MC4;SALT;Salt:100;Vermiculite;B_and_D;1;12;1158;1158;Good;Good;PH880;1;4;33,37678;121,35129;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB881;42;MG20;MC4;SALT;Salt:100;Vermiculite;B_and_D;1;12;1159;1159;Good;Good;PH881;1;3;26,03111;147,41956;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB882;42;MG20;MC4;SALT;Salt:100;Vermiculite;B_and_D;1;12;1160;1160;Good;Good;PH882;1;3;26,96382;108,33456;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB883;42;MG20;MC4;SALT;Salt:100;Vermiculite;B_and_D;1;12;1161;1161;Good;Good;PH883;1;3;30,02402;111,72386;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB884;42;MG20;MC4;SALT;Salt:100;Vermiculite;B_and_D;1;12;1162;1162;Good;Good;PH884;1;4;41,81468;113,4915;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB885;42;MG20;MC4;SALT;Salt:100;Vermiculite;B_and_D;1;12;1163;1163;Good;Good;PH885;1;2;25,48378;81,22542;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB886;2;MG20;MC3;SALT;Salt:100;Vermiculite;B_and_D;1;13;1164;1164;Good;Good;PH886;1;2;14,77733;90,41213;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB887;2;MG20;MC3;SALT;Salt:100;Vermiculite;B_and_D;1;13;1165;1165;Good;Good;PH887;1;2;18,39731;86,31189;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB888;2;MG20;MC3;SALT;Salt:100;Vermiculite;B_and_D;1;13;1166;1166;Bad;Bad;PH888;1;1;6,50778;14,23339;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB889;2;MG20;MC3;SALT;Salt:100;Vermiculite;B_and_D;1;13;1167;1167;Good;Good;PH889;1;2;20,61883;90,27792;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB890;2;MG20;MC3;SALT;Salt:100;Vermiculite;B_and_D;1;13;1168;1168;Good;Good;PH890;1;3;22,14112;80,74339;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB891;2;MG20;MC3;SALT;Salt:100;Vermiculite;B_and_D;1;13;1169;1169;Good;Good;PH891;1;2;23,56528;106,62018;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB892;41;MG20;MC4;SALT;Salt:100;Vermiculite;B_and_D;1;14;1170;1170;Good;Good;PH892;1;2;19,28414;99,47304;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB893;41;MG20;MC4;SALT;Salt:100;Vermiculite;B_and_D;1;14;1171;1171;Good;Good;PH893;1;3;20,84827;113,76338;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB894;41;MG20;MC4;SALT;Salt:100;Vermiculite;B_and_D;1;14;1172;1172;Good;Good;PH894;1;3;28,90363;100,77449;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB895;41;MG20;MC4;SALT;Salt:100;Vermiculite;B_and_D;1;14;1173;1173;Good;Good;PH895;1;2;18,7069;95,81173;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB896;41;MG20;MC4;SALT;Salt:100;Vermiculite;B_and_D;1;14;1174;1174;Good;Good;PH896;1;4;30,93012;113,63609;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB897;41;MG20;MC4;SALT;Salt:100;Vermiculite;B_and_D;1;14;1175;1175;Good;Good;PH897;1;3;26,06897;107,63667;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB898;113;MG11;MC2;SALT;Salt:150;Vermiculite;B_and_D;2;15;1176;1176;Bad;Bad;PH898;1;0;3,74696;6,94757;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB899;113;MG11;MC2;SALT;Salt:150;Vermiculite;B_and_D;2;15;1177;1177;Bad;Bad;PH899;1;0;5,10949;10,82547;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB900;113;MG11;MC2;SALT;Salt:150;Vermiculite;B_and_D;2;15;1178;1178;Good;Good;PH900;1;1;8,75764;30,01788;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB901;113;MG11;MC2;SALT;Salt:150;Vermiculite;B_and_D;2;15;1179;1179;Good;Good;PH901;1;1;7,77508;49,82993;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB902;113;MG11;MC2;SALT;Salt:150;Vermiculite;B_and_D;2;15;1180;1180;Good;Good;PH902;1;1;5,49254;21,76853;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB903;111;MG67;MC2;SALT;Salt:150;Vermiculite;B_and_D;2;16;1181;1181;Bad;Bad;PH903;1;0;5,06387;18,05353;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB904;111;MG67;MC2;SALT;Salt:150;Vermiculite;B_and_D;2;16;1182;1182;Bad;Bad;PH904;1;1;5,63847;13,98909;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB905;111;MG67;MC2;SALT;Salt:150;Vermiculite;B_and_D;2;16;1183;1183;Good;Bad;PH905;1;0;6,76136;21,17683;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB906;111;MG67;MC2;SALT;Salt:150;Vermiculite;B_and_D;2;16;1184;1184;Good;Good;PH906;1;1;10,82547;47,44708;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB907;146;BURTII;MC1;SALT;Salt:150;Vermiculite;B_and_D;2;17;1185;1185;Good;Good;PH907;1;6;85,47882;75,54522;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB908;146;BURTII;MC1;SALT;Salt:150;Vermiculite;B_and_D;2;17;1186;1186;Good;Good;PH908;1;5;64,7426;71,88639;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB909;146;BURTII;MC1;SALT;Salt:150;Vermiculite;B_and_D;2;17;1187;1187;Good;Good;PH909;1;7;73,76837;67,69775;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB910;146;BURTII;MC1;SALT;Salt:150;Vermiculite;B_and_D;2;17;1188;1188;Good;Good;PH910;1;4;58,19636;70,78605;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB911;146;BURTII;MC1;SALT;Salt:150;Vermiculite;B_and_D;2;17;1189;1189;Good;Good;PH911;1;5;66,80946;79,0752;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB912;23;GIFU;MC2;SALT;Salt:100;Vermiculite;B_and_D;1;18;1190;1190;Good;Good;PH912;1;1;7,95215;35,01859;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB913;23;GIFU;MC2;SALT;Salt:100;Vermiculite;B_and_D;1;18;1191;1191;Good;Good;PH913;1;1;10,01831;38,71444;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB914;23;GIFU;MC2;SALT;Salt:100;Vermiculite;B_and_D;1;18;1192;1192;Bad;Bad;PH914;1;0;5,28804;10,16205;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB915;23;GIFU;MC2;SALT;Salt:100;Vermiculite;B_and_D;1;18;1193;1193;Good;Good;PH915;1;1;15,78974;33,25314;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB916;23;GIFU;MC2;SALT;Salt:100;Vermiculite;B_and_D;1;18;1194;1194;Good;Good;PH916;1;2;14,70649;49,98351;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB917;23;GIFU;MC2;SALT;Salt:100;Vermiculite;B_and_D;1;18;1195;1195;Good;Good;PH917;1;1;11,27695;48,9122;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB918;47;MG63;MC4;SALT;Salt:100;Vermiculite;B_and_D;1;19;1196;1196;Good;Good;PH918;1;1;9,08921;50,07415;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB919;47;MG63;MC4;SALT;Salt:100;Vermiculite;B_and_D;1;19;1197;1197;Good;Good;PH919;1;4;22,10703;54,91415;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB920;37;MG46;MC2;SALT;Salt:100;Vermiculite;B_and_D;1;20;1198;1198;Good;Good;PH920;1;2;10,34312;43,91915;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB921;37;MG46;MC2;SALT;Salt:100;Vermiculite;B_and_D;1;20;1199;1199;Good;Good;PH921;1;1;12,21062;30,93012;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB922;37;MG46;MC2;SALT;Salt:100;Vermiculite;B_and_D;1;20;1200;1200;Good;Good;PH922;1;2;10,94804;50,2938;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB923;37;MG46;MC2;SALT;Salt:100;Vermiculite;B_and_D;1;20;1201;1201;Good;Good;PH923;1;1;12,9709;48,66757;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
STID2;MB924;37;MG46;MC2;SALT;Salt:100;Vermiculite;B_and_D;1;20;1202;1202;Good;Good;PH924;1;3;17,84668;90,27183;NONE;NONE;NONE;NONE;INROOT_05;Pot;20210107;Endosphere;;20211111;;;;
